"RunName","ImageAUROC","FusedAUROC","PixelAUROC","PixelAggImageAUROC","S1Epochs","S1BestEpoch","S1BestImageAUROC","S2Epochs","S2BestEpoch","EffectiveK","AnchorsUsed","Entropy","Margin","Ratio"
"patch_stage2e70_k1","0.7410975609756097",,"0.928053226248246","0.7185739329268293",,,,,,,,,,
"patch_stage2e70_k16","0.7931895325203253",,"0.930448412739753","0.7173208841463414",,,,,,,,,,
"patch_stage2e70_k2","0.7567825203252032",,"0.928708511836992","0.7170553861788618",,,,,,,,,,
"patch_stage2e70_k32","0.8118673780487804",,"0.929806065794116","0.7225635162601626",,,,,,,,,,
"patch_stage2e70_k4","0.7879237804878049",,"0.928287277461607","0.7609344512195122",,,,,,,,,,
"patch_stage2e70_k8","0.7472817581300812",,"0.934298234951031","0.7500706300813008",,,,,,,,,,
"full_redesign_stage2e70_k1",,,,,,,,,,,,,,
"full_redesign_stage2e70_k1024",,,,,,,,,,,,,,
"full_redesign_stage2e70_k16",,,,,,,,,,,,,,
"full_redesign_stage2e70_k256",,,,,,,,,,,,,,
"full_redesign_stage2e70_k4",,,,,,,,,,,,,,
"full_redesign_stage2e70_vitbase_p256_k1",,,,,,,,,,,,,,
"full_redesign_stage2e70_vitbase_p256_k1024",,,,,,,,,,,,,,
"full_redesign_stage2e70_vitbase_p384_k1",,,,,,,,,,,,,,
"full_redesign_stage2e70_vitbase_p384_k1024",,,,,,,,,,,,,,
"full_redesign_stage2e70_vitbase_p512_k1",,,,,,,,,,,,,,
"full_redesign_stage2e70_vitbase_p512_k1024",,,,,,,,,,,,,,
"full_redesign_stage2e70_vitsmall_p64_k1",,,,,,,,,,,,,,
"full_redesign_stage2e70_vitsmall_p64_k1024",,,,,,,,,,,,,,
"patch_stage2e70_k1",,,,,,,,,,,,,,
"patch_stage2e70_k16",,,,,,,,,,,,,,
"patch_stage2e70_k2",,,,,,,,,,,,,,
"patch_stage2e70_k32",,,,,,,,,,,,,,
"patch_stage2e70_k4",,,,,,,,,,,,,,
"patch_stage2e70_k8",,,,,,,,,,,,,,
"patch_stage2e70_vitbase_p256_k1",,,,,,,,,,,,,,
"patch_stage2e70_vitbase_p256_k32",,,,,,,,,,,,,,
"patch_stage2e70_vitbase_p256_k4",,,,,,,,,,,,,,
"patch_stage2e70_vitbase_p384_k1",,,,,,,,,,,,,,
"patch_stage2e70_vitbase_p384_k32",,,,,,,,,,,,,,
"patch_stage2e70_vitbase_p384_k4",,,,,,,,,,,,,,
"patch_stage2e70_vitbase_p512_k1",,,,,,,,,,,,,,
"patch_stage2e70_vitbase_p512_k32",,,,,,,,,,,,,,
"patch_stage2e70_vitbase_p512_k4",,,,,,,,,,,,,,
"patch_stage2e70_vitsmall_p64_k1",,,,,,,,,,,,,,
"patch_stage2e70_vitsmall_p64_k32",,,,,,,,,,,,,,
